task,order_A,order_B,video,video_path,split,fill_in,shown_to_annotator
1_severity,126,210,46669_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46669_2.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,127,192,33483_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33483_2.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,128,328,36687_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36687_3.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,129,422,37908_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37908_2.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,130,467,49599_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/49599_1.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,131,317,37389_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37389_1.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,132,219,47808_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47808_1.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,133,239,47320_6,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47320_6.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,134,221,48683_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/48683_1.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,135,216,50423_5,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/50423_5.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,136,403,47224_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47224_2.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,137,402,48621_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/48621_2.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,138,63,46167_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46167_1.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,139,109,46725_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46725_1.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,140,205,47861_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47861_2.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,141,431,33937_8,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33937_8.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,142,369,33194_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33194_1.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,143,485,37665_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37665_1.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,144,454,48563_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/48563_1.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,145,214,47719_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47719_1.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,146,351,48638_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/48638_2.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,147,306,37428_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37428_1.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,148,67,48713_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/48713_1.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,149,246,33048_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33048_1.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,150,329,47960_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47960_1.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,151,75,47901_8,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47901_8.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,152,30,46820_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46820_1.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,153,259,50024_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/50024_2.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,154,401,49945_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/49945_1.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,155,175,49490_5,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/49490_5.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,156,377,33850_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33850_1.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,157,108,37732_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37732_2.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,158,303,48179_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/48179_2.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,159,240,47570_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47570_1.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,160,409,46839_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46839_1.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,161,463,49006_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/49006_2.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,162,261,36254_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36254_3.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,163,23,46465_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46465_3.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,164,112,48323_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/48323_3.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,165,138,36534_5,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36534_5.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,166,418,48410_4,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/48410_4.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,167,181,49596_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/49596_1.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,168,141,48451_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/48451_1.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,169,229,47479_6,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47479_6.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,170,327,33511_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33511_1.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,171,346,50418_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/50418_1.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,172,107,50599_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/50599_3.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,173,331,48238_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/48238_3.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,174,366,49125_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/49125_1.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,175,260,49548_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/49548_1.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,176,218,36586_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36586_1.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,177,88,50060_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/50060_2.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,178,176,36375_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36375_1.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,179,44,37249_4,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37249_4.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,180,348,36238_5,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36238_5.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,181,70,48141_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/48141_1.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,182,82,50844_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/50844_1.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,183,89,45950_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/45950_1.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,184,211,37906_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37906_3.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,185,408,36968_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36968_1.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,186,26,49736_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/49736_1.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,187,73,50619_4,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/50619_4.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,188,271,36991_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36991_2.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,189,182,47487_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47487_2.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,190,284,49769_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/49769_1.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,191,483,50866_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/50866_1.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,192,494,32975_6,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/32975_6.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,193,213,36354_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36354_2.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,194,429,46923_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46923_2.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,195,173,36746_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36746_1.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,196,174,46445_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46445_1.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,197,171,45959_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/45959_1.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,198,356,37099_7,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37099_7.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,199,238,50172_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/50172_2.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,200,220,50414_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/50414_1.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,201,114,46334_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46334_2.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,202,81,48844_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/48844_1.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,203,350,49516_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/49516_1.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,204,290,38029_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/38029_1.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,205,119,49724_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/49724_2.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,206,154,47476_4,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47476_4.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,207,457,36269_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36269_1.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,208,53,46243_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46243_1.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,209,393,37265_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37265_1.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,210,438,33827_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33827_1.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,211,172,47274_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47274_1.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,212,204,47589_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47589_2.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,213,157,46213_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46213_1.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,214,50,33634_10,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33634_10.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,215,166,36166_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36166_1.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,216,78,47288_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47288_2.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,217,301,47645_5,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47645_5.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,218,156,32996_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/32996_2.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,219,322,36563_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36563_2.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,220,396,36138_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36138_3.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,221,153,33630_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33630_2.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,222,295,33334_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33334_2.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,223,407,50758_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/50758_1.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,224,6,50522_4,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/50522_4.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,225,36,50334_12,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/50334_12.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,226,21,49295_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/49295_2.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,227,124,36679_5,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36679_5.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,228,147,46413_4,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46413_4.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,229,102,48548_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/48548_2.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,230,310,48389_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/48389_3.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,231,43,33207_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33207_1.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,232,52,47650_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47650_1.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,233,304,36907_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36907_1.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,234,392,33406_8,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33406_8.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,235,411,36497_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36497_2.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,236,51,36810_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36810_1.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,237,7,36584_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36584_1.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,238,223,37597_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37597_3.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,239,98,36035_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36035_2.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,240,133,49565_5,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/49565_5.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,241,140,33322_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33322_3.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,242,357,36264_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36264_2.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,243,476,49234_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/49234_2.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,244,425,48263_10,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/48263_10.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,245,125,37958_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37958_1.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,246,76,46507_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46507_2.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,247,95,36880_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36880_1.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,248,183,50174_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/50174_1.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,249,188,33468_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33468_2.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,250,461,49586_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/49586_3.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
