video,split,corpus_class,dataset_knees_forward_intervals_s,dataset_knees_inward_intervals_s,any_fault_interval,posture_v1_prob_fault,posture_v1_says_fault_at_0.525,rule_knees_forward,rule_peak_s,rule_peak_inside_labelled_interval,view,frames_dir,video_path
37223_1,train,depth_fault,"[[2.21, 5.23], [4.62, 5.32]]",[],yes,0.664,yes,OBSERVED,3.667,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/37223_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37223_1.mp4
37224_1,train,depth_fault,"[[1.16, 3.45]]",[],yes,0.620,yes,NOT_OBSERVED,2.467,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/37224_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37224_1.mp4
37238_1,train,depth_fault,"[[0.7, 2.71]]",[],yes,0.834,yes,OBSERVED,1.5,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/37238_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37238_1.mp4
37242_1,train,posture_fault,"[[2.15, 3.19]]",[],yes,0.930,yes,OBSERVED,1.367,no,side,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/37242_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37242_1.mp4
37249_4,train,depth_fault,[],[],no,0.218,no,UNCERTAIN,,,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/37249_4,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37249_4.mp4
37251_1,train,posture_fault,"[[2.85, 4.44]]",[],yes,0.864,yes,OBSERVED,1.433,no,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/37251_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37251_1.mp4
37265_1,train,depth_fault,"[[3.06, 5.97]]",[],yes,0.841,yes,UNCERTAIN,,,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/37265_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37265_1.mp4
37286_1,train,posture_fault,"[[0.82, 3.66]]","[[1.72, 3.47], [1.76, 3.27]]",yes,0.901,yes,OBSERVED,1.233,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/37286_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37286_1.mp4
37287_2,train,depth_fault,"[[1.02, 2.6]]",[],yes,0.224,no,OBSERVED,1.5,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/37287_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37287_2.mp4
37295_2,train,posture_fault,"[[1.18, 3.61]]",[],yes,0.412,no,NOT_OBSERVED,1.667,yes,side,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/37295_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37295_2.mp4
37300_6,train,depth_fault,"[[1.73, 2.63]]",[],yes,0.141,no,UNCERTAIN,,,unknown,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/37300_6,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37300_6.mp4
37305_3,train,depth_fault,"[[0.65, 1.75]]",[],yes,0.640,yes,OBSERVED,1.133,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/37305_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37305_3.mp4
37327_1,train,posture_fault,"[[1.73, 2.64], [0.83, 1.6], [2.29, 3.01]]",[],yes,0.930,yes,NOT_OBSERVED,1.1,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/37327_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37327_1.mp4
37340_1,train,depth_fault,"[[1.31, 3.53]]",[],yes,0.689,yes,NOT_OBSERVED,2.2,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/37340_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37340_1.mp4
37342_4,train,depth_fault,"[[1.35, 3.25]]",[],yes,0.785,yes,NOT_OBSERVED,2.067,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/37342_4,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37342_4.mp4
37362_7,train,depth_fault,[],[],no,0.483,no,UNCERTAIN,1.767,,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/37362_7,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37362_7.mp4
37371_1,train,depth_fault,"[[2.16, 2.99]]",[],yes,0.276,no,OBSERVED,2.3,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/37371_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37371_1.mp4
37389_1,train,depth_fault,[],[],no,0.780,yes,OBSERVED,1.333,,side,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/37389_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37389_1.mp4
37403_1,train,depth_fault,"[[2.34, 3.72]]",[],yes,0.823,yes,OBSERVED,1.633,no,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/37403_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37403_1.mp4
37405_1,train,depth_fault,"[[0.86, 2.02]]","[[1.55, 2.49], [1.59, 2.39]]",yes,0.197,no,NOT_OBSERVED,1.367,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/37405_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37405_1.mp4
37412_1,train,depth_fault,"[[1.56, 2.89]]",[],yes,0.279,no,OBSERVED,2.067,yes,side,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/37412_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37412_1.mp4
37423_1,train,posture_fault,"[[0.69, 2.23]]","[[1.59, 2.67]]",yes,0.865,yes,NOT_OBSERVED,1.267,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/37423_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37423_1.mp4
37427_2,train,depth_fault,[],[],no,0.198,no,NOT_OBSERVED,1.333,,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/37427_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37427_2.mp4
37428_1,train,depth_fault,"[[2.98, 3.95]]",[],yes,0.480,no,OBSERVED,2.6,no,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/37428_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37428_1.mp4
37453_6,train,depth_fault,[],[],no,0.211,no,UNCERTAIN,,,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/37453_6,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37453_6.mp4
37455_1,train,posture_fault,"[[0.51, 6.2]]",[],yes,0.784,yes,NOT_OBSERVED,2.3,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/37455_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37455_1.mp4
37456_6,train,depth_fault,"[[1.33, 2.39]]",[],yes,0.392,no,NOT_OBSERVED,1.167,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/37456_6,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37456_6.mp4
37460_16,train,depth_fault,[],[],no,0.082,no,UNCERTAIN,,,unknown,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/37460_16,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37460_16.mp4
37471_3,train,depth_fault,"[[0.73, 2.3], [0.57, 1.95]]",[],yes,0.500,no,OBSERVED,1.133,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/37471_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37471_3.mp4
37478_3,train,depth_fault,"[[0.66, 2.74], [0.87, 2.28]]",[],yes,0.599,yes,OBSERVED,1.7,yes,side,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/37478_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37478_3.mp4
37483_1,train,posture_fault,"[[2.4, 4.92]]",[],yes,0.346,no,UNCERTAIN,,,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/37483_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37483_1.mp4
37498_1,train,depth_fault,"[[0.86, 2.25]]",[],yes,0.611,yes,UNCERTAIN,,,front,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/37498_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37498_1.mp4
37508_2,train,depth_fault,"[[0.83, 2.35], [0.92, 1.66]]",[],yes,0.478,no,NOT_OBSERVED,1.1,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/37508_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37508_2.mp4
37517_7,train,depth_fault,[],[],no,0.134,no,UNCERTAIN,,,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/37517_7,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37517_7.mp4
37521_1,train,depth_fault,[],[],no,0.548,yes,OBSERVED,2.0,,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/37521_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37521_1.mp4
37524_2,train,depth_fault,"[[1.21, 2.54]]",[],yes,0.519,no,OBSERVED,1.967,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/37524_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37524_2.mp4
37526_1,train,depth_fault,"[[0.55, 2.17]]",[],yes,0.381,no,OBSERVED,1.2,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/37526_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37526_1.mp4
37535_2,train,depth_fault,[],[],no,0.217,no,UNCERTAIN,,,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/37535_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37535_2.mp4
37555_3,train,depth_fault,[],[],no,0.479,no,UNCERTAIN,,,unknown,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/37555_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37555_3.mp4
37556_3,train,depth_fault,[],[],no,0.031,no,UNCERTAIN,,,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/37556_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37556_3.mp4
37561_1,train,depth_fault,"[[2.61, 4.05]]",[],yes,0.654,yes,NOT_OBSERVED,2.933,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/37561_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37561_1.mp4
37580_1,train,depth_fault,"[[1.3, 2.23]]",[],yes,0.243,no,OBSERVED,1.0,no,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/37580_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37580_1.mp4
37582_2,train,depth_fault,[],[],no,0.637,yes,OBSERVED,1.0,,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/37582_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37582_2.mp4
37589_1,train,posture_fault,"[[0.9, 3.53]]",[],yes,0.939,yes,OBSERVED,1.3,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/37589_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37589_1.mp4
37597_3,train,depth_fault,[],[],no,0.619,yes,OBSERVED,1.033,,side,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/37597_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37597_3.mp4
37605_7,train,depth_fault,"[[0.92, 1.49], [0.43, 1.27]]",[],yes,0.375,no,OBSERVED,0.867,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/37605_7,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37605_7.mp4
37609_3,train,depth_fault,"[[0.59, 1.81]]",[],yes,0.007,no,OBSERVED,1.333,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/37609_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37609_3.mp4
37615_1,train,depth_fault,"[[0.88, 1.93]]",[],yes,0.563,yes,OBSERVED,1.133,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/37615_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37615_1.mp4
37618_2,train,depth_fault,[],[],no,0.665,yes,NOT_OBSERVED,1.167,,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/37618_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37618_2.mp4
37619_2,train,depth_fault,"[[1.28, 2.12]]",[],yes,0.209,no,UNCERTAIN,,,unknown,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/37619_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37619_2.mp4
37630_4,train,depth_fault,[],[],no,0.363,no,NOT_OBSERVED,1.267,,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/37630_4,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37630_4.mp4
37632_2,train,depth_fault,[],[],no,0.595,yes,UNCERTAIN,,,front,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/37632_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37632_2.mp4
37640_3,train,posture_fault,"[[2.4, 6.16]]",[],yes,0.918,yes,OBSERVED,4.233,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/37640_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37640_3.mp4
37643_3,train,depth_fault,"[[1.33, 3.33]]",[],yes,0.554,yes,NOT_OBSERVED,2.1,yes,side,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/37643_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37643_3.mp4
37653_1,train,depth_fault,"[[0.71, 2.07]]",[],yes,0.729,yes,OBSERVED,1.267,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/37653_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37653_1.mp4
37662_2,train,depth_fault,"[[0.85, 2.22]]",[],yes,0.051,no,OBSERVED,1.6,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/37662_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37662_2.mp4
37664_2,train,depth_fault,"[[1.28, 3.48]]",[],yes,0.765,yes,NOT_OBSERVED,1.433,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/37664_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37664_2.mp4
37665_1,train,posture_fault,"[[1.31, 4.76]]","[[2.23, 4.46], [2.49, 4.51]]",yes,0.904,yes,OBSERVED,1.633,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/37665_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37665_1.mp4
37670_1,train,depth_fault,"[[3.28, 6.55]]",[],yes,0.908,yes,OBSERVED,4.167,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/37670_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37670_1.mp4
37673_12,train,depth_fault,[],[],no,0.528,yes,NOT_OBSERVED,1.033,,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/37673_12,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37673_12.mp4
37676_1,train,depth_fault,"[[0.76, 2.17]]",[],yes,0.673,yes,OBSERVED,1.2,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/37676_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37676_1.mp4
37682_2,train,depth_fault,"[[0.64, 1.88]]",[],yes,0.514,no,OBSERVED,0.9,yes,side,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/37682_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37682_2.mp4
37691_1,train,depth_fault,"[[0.7, 1.66]]","[[1.14, 2.13], [1.3, 1.98]]",yes,0.562,yes,OBSERVED,0.967,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/37691_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37691_1.mp4
37694_9,train,depth_fault,[],[],no,0.346,no,UNCERTAIN,1.5,,side,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/37694_9,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37694_9.mp4
37697_2,train,depth_fault,[],[],no,0.661,yes,NOT_OBSERVED,1.133,,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/37697_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37697_2.mp4
37720_2,train,depth_fault,"[[0.96, 1.59], [0.55, 1.29]]",[],yes,0.543,yes,OBSERVED,0.9,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/37720_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37720_2.mp4
37722_1,train,depth_fault,"[[4.63, 5.63]]",[],yes,0.782,yes,OBSERVED,3.533,no,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/37722_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37722_1.mp4
37732_2,train,depth_fault,[],[],no,0.348,no,OBSERVED,1.2,,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/37732_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37732_2.mp4
37756_1,train,posture_fault,"[[0.83, 2.23]]",[],yes,0.618,yes,OBSERVED,1.1,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/37756_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37756_1.mp4
37757_3,train,depth_fault,[],[],no,0.665,yes,UNCERTAIN,1.2,,side,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/37757_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37757_3.mp4
37760_1,train,posture_fault,"[[2.95, 3.86]]",[],yes,0.479,no,OBSERVED,2.167,no,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/37760_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37760_1.mp4
37761_1,train,depth_fault,"[[1.46, 3.51]]",[],yes,0.769,yes,OBSERVED,1.967,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/37761_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37761_1.mp4
37773_1,train,depth_fault,"[[1.2, 2.26]]",[],yes,0.629,yes,NOT_OBSERVED,1.733,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/37773_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37773_1.mp4
37774_1,train,depth_fault,"[[1.05, 3.77]]",[],yes,0.754,yes,OBSERVED,1.5,yes,side,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/37774_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37774_1.mp4
37782_1,train,depth_fault,[],[],no,0.304,no,UNCERTAIN,,,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/37782_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37782_1.mp4
37788_4,train,depth_fault,[],[],no,0.183,no,UNCERTAIN,2.033,,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/37788_4,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37788_4.mp4
37795_2,train,depth_fault,"[[0.62, 1.87]]",[],yes,0.677,yes,NOT_OBSERVED,1.267,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/37795_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37795_2.mp4
37805_1,train,depth_fault,"[[0.7, 2.99]]",[],yes,0.772,yes,OBSERVED,1.433,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/37805_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37805_1.mp4
37815_1,train,depth_fault,"[[0.75, 3.35]]",[],yes,0.541,yes,UNCERTAIN,2.067,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/37815_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37815_1.mp4
37820_1,train,depth_fault,"[[1.32, 3.53], [1.17, 2.04]]",[],yes,0.809,yes,OBSERVED,1.6,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/37820_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37820_1.mp4
37823_2,train,posture_fault,"[[3.53, 5.33]]",[],yes,0.806,yes,OBSERVED,4.133,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/37823_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37823_2.mp4
37824_2,train,depth_fault,[],[],no,0.460,no,UNCERTAIN,,,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/37824_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37824_2.mp4
37839_1,train,depth_fault,"[[1.58, 4.07]]","[[2.47, 3.68]]",yes,0.684,yes,OBSERVED,2.233,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/37839_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37839_1.mp4
37840_1,train,good_form,[],[],no,0.153,no,OBSERVED,0.767,,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/37840_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37840_1.mp4
37844_1,train,depth_fault,"[[1.0, 2.16]]",[],yes,0.423,no,OBSERVED,1.433,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/37844_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37844_1.mp4
37858_1,train,depth_fault,[],[],no,0.636,yes,NOT_OBSERVED,1.067,,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/37858_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37858_1.mp4
37859_4,train,depth_fault,[],"[[1.33, 2.12], [1.38, 2.12]]",yes,0.662,yes,NOT_OBSERVED,1.067,,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/37859_4,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37859_4.mp4
37861_3,train,good_form,[],[],no,0.258,no,OBSERVED,2.133,,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/37861_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37861_3.mp4
37864_7,train,good_form,[],[],no,0.474,no,UNCERTAIN,1.7,,side,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/37864_7,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37864_7.mp4
37872_1,train,depth_fault,[],[],no,0.435,no,UNCERTAIN,0.933,,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/37872_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37872_1.mp4
37880_1,train,good_form,[],[],no,0.775,yes,OBSERVED,1.167,,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/37880_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37880_1.mp4
37885_1,train,depth_fault,[],[],no,0.500,no,UNCERTAIN,,,unknown,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/37885_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37885_1.mp4
37895_1,train,depth_fault,"[[0.55, 1.87]]",[],yes,0.117,no,OBSERVED,1.033,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/37895_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37895_1.mp4
37902_1,train,depth_fault,"[[0.46, 3.24]]",[],yes,0.762,yes,OBSERVED,1.367,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/37902_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37902_1.mp4
37906_3,train,depth_fault,[],[],no,0.183,no,UNCERTAIN,,,unknown,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/37906_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37906_3.mp4
37908_2,train,posture_fault,"[[0.97, 3.24]]",[],yes,0.912,yes,OBSERVED,1.833,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/37908_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37908_2.mp4
